db,scenario,run_1,run_2,run_3,run_4,run_5,mean_ms,std_ms,min_ms,max_ms,p95_ms,p99_ms,throughput_rows_per_sec,cpu_percent,memory_delta_mb
mysql,bulk_insert_1000,67.503,58.378,54.619,89.980,111.217,76.339,23.849,54.619,111.217,126.083,131.180,13099.4,6.5,0.00
mysql,bulk_insert_10000,606.293,715.514,775.155,760.524,718.519,715.201,66.183,606.293,775.155,785.397,788.909,13982.1,6.6,0.26
mysql,bulk_insert_100000,6948.126,6669.304,7037.456,7632.262,7382.458,7133.922,377.428,6669.304,7632.262,7807.125,7867.078,14017.5,6.5,1.03
mysql,select_where,4.721,2.641,3.602,3.150,3.256,3.474,0.777,2.641,4.721,5.504,5.773,0.0,56.5,0.00
mysql,complex_join,6.892,7.727,8.434,9.048,7.609,7.942,0.826,6.892,9.048,9.479,9.626,0.0,50.1,0.00
mysql,aggregation,3062.534,2733.519,3377.025,3347.476,3188.778,3141.866,261.159,2733.519,3377.025,3397.709,3404.800,0.0,0.1,0.00
mysql,update_delete,732.553,701.036,710.011,754.118,791.710,737.886,36.482,701.036,791.710,818.024,827.045,0.0,0.3,0.00
postgresql,bulk_insert_1000,129.934,69.796,63.452,65.747,59.835,77.753,29.394,59.835,129.934,172.031,186.464,12861.3,9.3,0.00
postgresql,bulk_insert_10000,673.331,594.758,611.485,619.720,651.077,630.074,31.671,594.758,673.331,688.909,694.250,15871.1,10.7,0.57
postgresql,bulk_insert_100000,5986.846,6014.324,6098.189,6206.491,5943.670,6049.904,104.138,5943.670,6206.491,6282.303,6308.295,16529.2,10.9,3.18
postgresql,select_where,6.210,1.444,1.244,1.167,1.547,2.322,2.178,1.167,6.210,9.474,10.593,0.0,83.7,0.00
postgresql,complex_join,30.550,13.600,13.521,12.978,13.110,16.752,7.718,12.978,30.550,42.414,46.482,0.0,11.9,0.00
postgresql,aggregation,227.550,200.653,230.396,294.166,235.856,237.724,34.354,200.653,294.166,334.983,348.977,0.0,0.0,0.00
postgresql,update_delete,1184.719,566.040,195.016,161.037,166.574,454.677,442.158,161.037,1184.719,1617.794,1766.277,0.0,0.0,0.00
sqlite,bulk_insert_1000,192.170,194.314,192.526,180.054,431.815,238.176,108.396,180.054,431.815,598.065,655.065,4198.6,2.8,0.00
sqlite,bulk_insert_10000,1168.063,1351.294,1091.667,1111.170,1161.428,1176.725,102.854,1091.667,1351.294,1479.556,1523.531,8498.2,4.0,0.00
sqlite,bulk_insert_100000,4732.306,4630.502,4696.263,4431.211,4572.387,4612.534,118.499,4431.211,4732.306,4757.536,4766.186,21680.1,7.3,1.29
sqlite,select_where,79.212,104.210,75.652,70.972,77.355,81.480,13.069,70.972,104.210,121.708,127.707,0.0,7.4,0.00
sqlite,complex_join,603.958,578.930,584.680,535.696,553.725,571.398,26.834,535.696,603.958,617.452,622.079,0.0,0.3,0.00
sqlite,aggregation,101658.249,101262.229,101991.877,97798.858,101240.861,100790.415,1700.850,97798.858,101991.877,102225.416,102305.487,0.0,0.0,0.00
sqlite,update_delete,13832.018,13219.551,6089.018,6025.445,6086.684,9050.543,4091.132,6025.445,13832.018,14260.745,14407.737,0.0,0.0,0.00
